what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391070596898
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391070599263
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391070599263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391070630444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391070642905
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391070643033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391070643089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071234844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071234984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071258265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071258347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071320890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071320992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391071484758
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391071489141
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391071489141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071526573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071539154
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391071539269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391071539328
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1391071633152
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1391071633239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1391071635399
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391071638659
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391071638659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071641141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071642758
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391071642860
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1391071643574
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1391071643608
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1391151978661
